
400 8 0.000067
400 8 0.000065
400 8 0.000062
400 8 0.000061
400 8 0.000059
800 8 0.000073
800 8 0.000079
800 8 0.000072
800 8 0.000078
800 8 0.000075
1600 8 0.000102
1600 8 0.000101
1600 8 0.000099
1600 8 0.000097
1600 8 0.000103
3200 8 0.000135
3200 8 0.000140
3200 8 0.000132
3200 8 0.000150
3200 8 0.000133
6400 8 0.000226
6400 8 0.000224
6400 8 0.000226
6400 8 0.000226
6400 8 0.000230
12800 8 0.000364
12800 8 0.000363
12800 8 0.000364
12800 8 0.000366
12800 8 0.000364
25600 8 0.000661
25600 8 0.000667
25600 8 0.000667
25600 8 0.000663
25600 8 0.000678
